Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalSpend,TotalPurchases,TotalChildren,CampaignAccepted,SpendPerPurchase,Edu_Encoded,Cluster,PCA1,PCA2
1957,Graduation,Single,58138.0,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,67,1617,22,0,0,73.5,2,2,2.0251103260024874,-0.03723099879040717
1954,Graduation,Single,46344.0,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,70,27,4,2,0,6.75,2,1,-1.7277079983050507,1.155185100060397
1965,Graduation,Together,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,59,776,20,0,0,38.8,2,2,1.37447541485712,-0.4028079302630384
1984,Graduation,Together,26646.0,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,40,53,6,1,0,8.833333333333334,2,3,-1.8803047373646735,-1.1725442985723713
1981,PhD,Married,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,43,422,14,1,0,30.142857142857142,4,1,-0.030614183983551573,0.47294486570956373
1967,Master,Together,62513.0,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,57,716,20,1,0,35.8,3,2,0.7616829964810247,0.5716357019702318
1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,53,590,17,1,0,34.705882352941174,2,2,0.14747553285331208,-0.26484274687675474
1985,PhD,Married,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,39,169,8,1,0,21.125,4,1,-1.2884982924170099,0.013201128613639744
1974,PhD,Together,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,50,46,5,1,0,9.2,4,1,-1.5719653480188371,0.5838204694113235
1950,PhD,Together,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,74,49,1,2,1,49.0,4,1,-2.151426102301128,2.148156006746882
1976,Basic,Married,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,48,61,5,0,0,12.2,0,3,-2.074849489116722,-2.5192503930686474
1959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,65,1102,15,0,0,73.46666666666667,2,2,1.184918314150258,-0.0864728875657171
1952,Master,Divorced,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,72,310,12,2,0,25.833333333333332,3,1,-0.5028501314564282,1.979394547084916
1987,Graduation,Married,17323.0,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,37,46,4,0,0,11.5,2,3,-1.8359583743059982,-1.9255733263070987
1946,PhD,Single,82800.0,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,78,1315,25,0,2,52.6,4,0,3.7526844895078595,1.4008840401005216
1980,Graduation,Married,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,44,96,6,2,0,16.0,2,3,-1.8801704225238425,-0.29334218161223025
1946,Graduation,Together,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,78,317,11,0,0,28.818181818181817,2,1,-0.2513286089719327,0.46118121940077517
1949,Master,Married,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,75,1782,24,1,1,74.25,3,2,2.953498439823105,1.451197556051885
1985,2n Cycle,Single,33812.0,1,0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,39,133,6,1,0,22.166666666666668,1,3,-1.7467237259712516,-1.7053293843415167
1982,Graduation,Married,37040.0,0,0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,42,316,11,0,0,28.727272727272727,2,3,-0.6112691050790958,-1.521143897194209
1979,Graduation,Married,2447.0,1,0,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,45,1730,28,1,0,61.785714285714285,2,2,0.6094040670108639,-0.9997751837153727
